ano_compra;"cnpj_instituicao";"sg_uf";"ds_esfera";dt_compra;dt_insercao;validade_compra;"co_catmat";"ds_item";"co_pdm";"co_grupo";"no_grupo";"co_classe";"no_classe";"fg_generico";"tp_compra";"sg_unidade_medida";"cnpj_fornecedor";"no_fornecedor";"cnpj_fabricante";"no_fabricante";qt_medicamento;"ds_observacao";"no_instituicao";"no_municipio";"un_medida_capacidade";"no_pdm";"nu_processo_compra";"nu_ata";"un_fornecimento";"registro_anvisa";"modalidade";vl_capacidade;vl_preco_unitario;vl_preco_total;co_seq_bps
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267618";"CARBAMAZEPINA, DOSAGEM:200 MG";"4509";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"82225947000165";"A G KIENEN & CIA LTDA";"19570720000110";"HIPOLABOR FARMACEUTICA LTDA";"320000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"COMPRIMIDO";"CARBAMAZEPINA";"63/2023";"98/2023";"COMPRIMIDO";"1134302080021";"Pregão";;"0.168";"53760.0";"13133489"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"268236";"CLORETO DE SÓDIO, PRINCÍPIO ATIVO:0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO:SISTEMA FECHADO";"5118";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"04932432000191";"ELMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"01784792000103";"EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -";"23200";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"FRASCO 250,00 ML";"CLORETO DE SÓDIO";"63/2023";"98/2023";"FRASCO";"1177200010409";"Pregão";"25000.0";"4.109";"95328.8";"13133490"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"299675";"MANITOL, DOSAGEM:20%, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SISTEMA FECHADO";"17412";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"04932432000191";"ELMED DISTRIBUIDORA DE MEDICAMENTOS LTDA";"01784792000103";"EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -";"400";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"FRASCO 250,00 ML";"MANITOL";"63/2023";"98/2023";"FRASCO";"1177200080067";"Pregão";"25000.0";"8.6";"3440.0";"13133491"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267662";"FLUCONAZOL, DOSAGEM:150 MG";"7644";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"17875154000120";"MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.";"5000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"CÁPSULA";"FLUCONAZOL";"63/2023";"98/2023";"CÁPSULA";"1091700980031";"Pregão";;"0.3799";"1899.5";"13133492"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"271089";"AMOXICILINA, CONCENTRAÇÃO:500MG";"2436";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"05399786000185";"UNICHEM FARMACEUTICA DO BRASIL LTDA.";"60000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"CÁPSULA";"AMOXICILINA";"63/2023";"98/2023";"CÁPSULA";"1564900030066";"Pregão";;"0.2137";"12822.0";"13133493"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267162";"CLORETO DE POTÁSSIO, DOSAGEM:19,1%, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL";"5116";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"01784792000103";"EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -";"2000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"AMPOLA 10,00 ML";"CLORETO DE POTÁSSIO";"63/2023";"98/2023";"AMPOLA";"1177200070071";"Pregão";"1000.0";"0.3699";"739.8";"13133494"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"267541";"GLICOSE, CONCENTRAÇÃO:50%, INDICAÇÃO:SOLUÇÃO INJETÁVEL";"8007";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"01784792000103";"EQUIPLEX INDUSTRIA FARMACEUTICA LTDA -";"3000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"AMPOLA 10,00 ML";"GLICOSE";"63/2023";"98/2023";"AMPOLA";"1177200040146";"Pregão";"1000.0";"0.4699";"1409.7";"13133495"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"272343";"TIAMINA, DOSAGEM:100 MG/ML, TIPO MEDICAMENTO:SOLUÇÃO INJETÁVEL";"12715";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"01578276000114";"ASLI COMERCIAL LTDA";"05155425000193";"VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA";"5000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"AMPOLA 1,00 ML";"TIAMINA";"63/2023";"98/2023";"AMPOLA";"1640000010017";"Pregão";"100.0";"8.7612";"43806.0";"13133496"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"366913";"GLICOSE, COMPOSIÇÃO:ASSOCIADA AO CLORETO DE SÓDIO, CONCENTRAÇAO:5% + 0,9%, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERISTICA ADICIONAL:SISTEMA FECHADO";"8007";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"49324221000104";"FRESENIUS KABI BRASIL LTDA.";"5000";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"FRASCO 1000,00 ML";"GLICOSE";"63/2023";"98/2023";"FRASCO";"1004100110191";"Pregão";"100000.0";"9.562";"47810.0";"13133497"
"2024";"88696810000175";"RS";"MUNICIPAL";"15/01/2024";"04/06/2024";"12";"380865";"POLIMIXINA B, COMPOSIÇÃO:ASSOCIADA COM NEOMICINA, FLUOCINOLONA E LIDOCAÍNA, CONCENTRAÇÃO:10.000 UI + 3,5 MG + 0,25 MG + 20 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO OTOLÓGICA";"12343";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"00802002000102";"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"100";"ATA DE REGISTRO DE PREÇOS Nº.98/2023 Pregão Eletrônico Nº 63/2023 Validade: 12 meses";"MUNICIPIO DE CAMAQUA";"CAMAQUA";"FRASCO 10,00 ML";"POLIMIXINA B";"63/2023";"98/2023";"FRASCO";"1542301650041";"Pregão";"1000.0";"4.4879";"448.79";"13133498"
